TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
15680,F84031,70,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,442.4,5226.66666,THE JUBILEE STREET PRACTICE LTD,415.30817,Metformin 500mg tablets,224,51.5135999,-0.05055
112,F84087,1,Metformin hydrochloride,06: Endocrine System,E1 4FG,23-Jul,3.84,37.33333,HARFORD HEALTH CENTRE,3.70971,Glucophage 500mg tablets,112,51.51835505,-0.03830635
5152,F84030,23,Metformin hydrochloride,06: Endocrine System,E3 2LR,23-Jul,145.36,1717.33333,RUSTON STREET CLINIC,136.4584,Metformin 500mg tablets,224,51.5363018,-0.027021075
1064,Y03023,76,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Jul,30.4,354.66667,ST ANDREWS HEALTH CENTRE,37.02111,Metformin 500mg tablets,14,51.5238708,-0.014907
56,F84055,1,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Jul,1.66,18.66667,THE GROVE ROAD SURGERY,1.56749,Metformin 500mg modified-release tablets,56,51.52979,-0.03887
60,F84062,1,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,1.69,20,THE CHRISP STREET HTH CTR,1.69559,Metformin 500mg tablets,60,51.5141762,-0.0143071
252,F84062,1,Metformin hydrochloride,06: Endocrine System,E14 6PG,23-Jul,7.11,84,THE CHRISP STREET HTH CTR,6.67305,Metformin 500mg tablets,252,51.5141762,-0.0143071
252,F84079,12,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,7.08,84,THE WAPPING GROUP PRACTICE,7.98134,Metformin 500mg tablets,21,51.50533401,-0.058222367
112,F84114,1,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Jul,3.32,37.33333,CITY SQUARE MEDICAL GROUP,3.12257,Metformin 500mg modified-release tablets,112,51.5139726,-0.0550705
504,F84122,24,Metformin hydrochloride,06: Endocrine System,E1 4DG,23-Jul,14.16,168,XX PLACE HEALTH CENTRE,15.96268,Metformin 500mg tablets,21,51.52468015,-0.04266905
224,F84081,8,Metformin hydrochloride,06: Endocrine System,E1 5PB,23-Jul,9.92,74.66667,THE SPITALFIELDS PRACTICE,10.19225,Sukkarto SR 500mg tablets,28,51.5173976,-0.0696235
140,F84718,4,Metformin hydrochloride,06: Endocrine System,E2 6JA,23-Jul,3.96,46.66667,THE BLITHEHALE MED.CTR.,4.15933,Metformin 500mg tablets,35,51.52377,-0.0651999
252,F84083,18,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Jul,10.08,168,BETHNAL GREEN HEALTH CTR.,11.46614,Metformin 1g modified-release tablets,14,51.5269199,-0.06426
1512,F84083,9,Metformin hydrochloride,06: Endocrine System,E2 6LL,23-Jul,42.66,504,BETHNAL GREEN HEALTH CTR.,40.07547,Metformin 500mg tablets,168,51.5269199,-0.06426
84,Y03023,12,Metformin hydrochloride,06: Endocrine System,E3 3FF,23-Jul,2.52,28,ST ANDREWS HEALTH CENTRE,3.70954,Metformin 500mg modified-release tablets,7,51.5238708,-0.014907
504,F84118,6,Metformin hydrochloride,06: Endocrine System,E3 4NE,23-Jul,11.28,285.6,WELLINGTON WAY HEALTH CENTRE,11.2415,Metformin 850mg tablets,84,51.52589465,-0.02501745
336,F84698,2,Metformin hydrochloride,06: Endocrine System,E14 0PU,23-Jul,23.82,224,ABERFELDY PRACTICE,22.33937,Sukkarto SR 1000mg tablets,168,51.51448982,-0.004900067
2184,F84747,13,Metformin hydrochloride,06: Endocrine System,E14 8JH,23-Jul,61.62,728,THE BARKANTINE PRACTICE,57.88679,Metformin 500mg tablets,168,51.50071373,-0.025713573
896,F84031,4,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,26.56,298.66667,THE JUBILEE STREET PRACTICE LTD,24.931,Metformin 500mg modified-release tablets,224,51.5135999,-0.05055
168,F84114,1,Metformin hydrochloride,06: Endocrine System,E1 2QA,23-Jul,7.44,56,CITY SQUARE MEDICAL GROUP,6.98219,Sukkarto SR 500mg tablets,168,51.5139726,-0.0550705
